Stranger on the Shore;Description unavailable;https://www.imdb.com/title/tt0166060/;['Family', 'Drama'];8.2;10;1961-09-24;
The Seven Faces of Jim;Description unavailable;https://www.imdb.com/title/tt0166059/;Comedy;No Rating;Total Rating Count N/A;1961-11-16;
Seven Deadly Sins;Description unavailable;https://www.imdb.com/title/tt0166058/;Drama;7.0;5;1966-05-09;
Quest of Eagles;Quest of Eagles is a TV series starring Tom Harris, Milos Kirek, and Ferdy Mayne. A young man is determined to find his dead father's treasure.;https://www.imdb.com/title/tt0166057/;['Family', 'Drama'];No Rating;Total Rating Count N/A;1979-11-11;
Off the Wall;Description unavailable;https://www.imdb.com/title/tt0166056/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Now, Take My Wife;Now, Take My Wife is a TV series starring Sheila Hancock, Donald Houston, and Liz Edmiston. Clare and Harry love (Donald Houston and Sheila Hancock) going through the ups and downs of dealing with their adolescent daughter.;https://www.imdb.com/title/tt0166055/;Comedy;No Rating;Total Rating Count N/A;1971-04-01;
Médecins de nuit;Description unavailable;https://www.imdb.com/title/tt0166053/;Drama;6.4;27;1978-09-22;
My Generation;My Generation is a TV series starring Michael Orenstein, Craig Shoemaker, and Jan Garrigan. A game show on VH1 featuring 2 contestants who had to answer questions about music that was popular to their respective eras. Questions...;https://www.imdb.com/title/tt0166052/;Game-Show;No Rating;Total Rating Count N/A;Unknown;
More Faces of Jim;Description unavailable;https://www.imdb.com/title/tt0166051/;Comedy;No Rating;Total Rating Count N/A;1963-06-28;
Who Wants to Be a Millionaire;Who Wants to Be a Millionaire is a TV series starring Chris Tarrant, Jeremy Clarkson, and Eamonn Holmes. The original British version of the popular quiz show, that became a worldwide phenomenon.;https://www.imdb.com/title/tt0166064/;Game-Show;6.1;1959;1998-09-04;
Vegetable Soup;Vegetable Soup is a TV series starring Carla Pinza, Wing Yee Leong, and Leonard A. Anderson. An anthology series themed around multiculturalism.;https://www.imdb.com/title/tt0166063/;Family;8.4;47;Unknown;
The Vacant Lot;The Vacant Lot is a TV series starring Rob Gfroerer, Vito Viscomi, and Nick McKinney. Along the same lines as "The Kids in the Hall", "The Vacant Lot" was a short-lived half-hour variety show from the mid-nineties. It poked fun at...;https://www.imdb.com/title/tt0166062/;Comedy;7.6;173;1994-08-01;
Timeslip;Timeslip is a TV series starring John Taylor, Jeff Harding, and Liza Ross. A computer hacker battles evil computers and other hackers electronically.;https://www.imdb.com/title/tt0166061/;['Drama', 'Thriller'];5.1;10;Unknown;
Liverpool 1;Liverpool 1 is a TV series starring Mark Womack, Samantha Womack, and Tom Georgeson. Tensions run high in this gritty police drama set in the heart of Liverpool's underworld.;https://www.imdb.com/title/tt0166050/;['Crime', 'Drama'];7.0;147;1998-09-07;
The Liars;The Liars is a TV series starring William Mervyn, Nyree Dawn Porter, and Isla Blair. One episode told the story of a joke that killed by laughter. The writer was put on trial for murder but when the joke was read out in court, it...;https://www.imdb.com/title/tt0166049/;Drama;8.9;11;1966-01-07;
Lamb Chop's Play-Along;Lamb Chop's Play-Along is a TV series starring Amy Castle, Brian Ito, and Shari Lewis. An enthusiastic singing lady and her puppet animal friends go on a variety of adventures.;https://www.imdb.com/title/tt0166048/;Family;7.1;1644;1992-09-10;
The Jump;The Jump is a TV series starring Adrian Dunbar, Jonathan Cake, and Susan Vidler. Having married into a family with Mafia connections, Donna thought her husband George was the diamond in the rough. But after his arrest, she sees...;https://www.imdb.com/title/tt0166047/;['Crime', 'Drama'];6.4;42;1998-09-06;
Josh Brunken Interview;Description unavailable;https://www.imdb.com/title/tt0166046/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
The Inheritors;Description unavailable;https://www.imdb.com/title/tt0166045/;Drama;6.2;5;1974-08-15;
Hyperion Bay;Hyperion Bay is a TV series starring Mark-Paul Gosselaar, Dylan Neal, and Sydney Penny. This show is about a nerd who returns to his hometown as a successful computer programmer. Only to find his high school crush unhappily married...;https://www.imdb.com/title/tt0166044/;Drama;6.9;132;1998-09-21;
House of Caradus;House of Caradus is a TV series starring Sarah Bullen, Robert Grange, and Anthony Smee. Drama series about a family of provincial Auctioneers.;https://www.imdb.com/title/tt0166043/;Drama;No Rating;Total Rating Count N/A;1979-02-23;
G.P.;G.P. is a TV series starring Denise Roberts, Michael Craig, and Michael O'Neill. Set around a fictional Ross St Surgery medical practice in inner Sydney explored both the personal and professional lives of the general practitioners...;https://www.imdb.com/title/tt0166042/;Drama;7.2;109;1989-03-07;
The Further Adventures of Lucky Jim;Description unavailable;https://www.imdb.com/title/tt0166041/;['Comedy', 'Drama'];No Rating;Total Rating Count N/A;1967-05-02;
Full House;Description unavailable;https://www.imdb.com/title/tt0166040/;Comedy;5.8;28;1985-01-07;
Exit 57;Exit 57 is a TV series starring Stephen Colbert, Paul Dinello, and Jodi Lennon. 30 minute sketch comedy featuring Stephen Colbert that aired on Comedy Central in 1995.;https://www.imdb.com/title/tt0166039/;Comedy;7.9;166;1995-08-20;
The Doombolt Chase;The Doombolt Chase is a TV series starring Peter Vaughan, Frederick Jaeger, and Donald Burton. When Commander David Wheeler is arrested for a seemingly motiveless attack on a mysterious vessel, his son Richard, along with two...;https://www.imdb.com/title/tt0166038/;['Drama', 'Family', 'Sci-Fi'];7.1;22;1978-03-12;
The Caesars;The Caesars is a TV mini-series starring Freddie Jones, André Morell, and Caroline Blakiston. After years of civil war following the assassination of Julius Caesar, his adopted son Octavian manages to unite the various factions and...;https://www.imdb.com/title/tt0166037/;['Biography', 'Drama', 'History'];8.2;111;1968-09-21;
Les brigades du Tigre;Les brigades du Tigre is a TV series starring Jean-Claude Bouillon, Jean-Paul Tribout, and Pierre Maguelon. In the early twentieth century is created in France the first motorized police group. They are called 'The Tiger Brigades',...;https://www.imdb.com/title/tt0166036/;['Action', 'Crime', 'Thriller'];7.9;340;1974-12-21;
Brendon Chase;Brendon Chase is a TV series starring Craig McFarlane, Howard Taylor, and Paul Erangey. TV adaptation of the classic children's novel by 'BB' - three young brothers run away from their aunt and live in the forest of Brendon Chase.;https://www.imdb.com/title/tt0166035/;['Adventure', 'Family'];8.3;117;1980-12-31;
Bellbird;Description unavailable;https://www.imdb.com/title/tt0166034/;Drama;7.3;26;1967-08-28;
Backs to the Land;Description unavailable;https://www.imdb.com/title/tt0166033/;['Comedy', 'War'];6.0;11;1977-04-15;
Sports Night;Sports Night is a TV series starring Josh Charles, Peter Krause, and Felicity Huffman. Casey McCall and Dan Rydell are sports anchors and best friends. On "Sports Night," their nightly cable program.;https://www.imdb.com/title/tt0165961/;['Comedy', 'Drama', 'Sport'];8.2;7497;1998-09-22;
Il circolo Pickwick;Il circolo Pickwick is a TV series starring Mario Pisu, Guido Alberti, and Gigi Ballista. The Pickwick Club sends Mr. Pickwick and a group of friends to travel across England and to report back on the interesting things they find....;https://www.imdb.com/title/tt0165682/;Comedy;7.0;5;1968-02-04;
La trappola originale;Description unavailable;https://www.imdb.com/title/tt0165516/;Genre Unknown;No Rating;Total Rating Count N/A;1982-03-25;
Stasera Fernandel;Description unavailable;https://www.imdb.com/title/tt0165515/;['Comedy', 'Crime'];7.2;10;1968-12-12;
Le vent des moissons;Description unavailable;https://www.imdb.com/title/tt0165528/;Drama;6.9;7;1988-07-21;
199 Park Lane;Description unavailable;https://www.imdb.com/title/tt0165560/;Drama;No Rating;Total Rating Count N/A;1965-07-03;
Jools Holland's Happening;Description unavailable;https://www.imdb.com/title/tt0165580/;['Music', 'Talk-Show'];No Rating;Total Rating Count N/A;1991-09-06;
Inquiring Minds;Inquiring Minds is a TV series starring Chris Robinson, Michael Kinney, and Persis Golwala. The hosts answer viewer questions about science.;https://www.imdb.com/title/tt0165579/;Genre Unknown;8.7;70;Unknown;
The House on the Hill;The House on the Hill is a TV series starring Ralph Bates, James Cosmo, and Annette Crosbie. A series of six plays centred on a house in Glasgow, from 1878 to the 1980s.;https://www.imdb.com/title/tt0165578/;Drama;No Rating;Total Rating Count N/A;1981-07-04;
Holding the Baby;Holding the Baby is a TV series starring Jon Patrick Walker, Jennifer Westfeldt, and Eddie McClintock. Gordon Stiles' life is not easy. He's an executive whose boss, Mr. Peterson is overbearing, demanding, and insufferable. His...;https://www.imdb.com/title/tt0165576/;Comedy;4.4;18;1998-08-23;
Hit and Run;Description unavailable;https://www.imdb.com/title/tt0165575/;Genre Unknown;No Rating;Total Rating Count N/A;1965-01-18;
Guess Who's Coming to Dinner?;Description unavailable;https://www.imdb.com/title/tt0165574/;Genre Unknown;4.4;7;1998-09-01;
The Good Guys;Description unavailable;https://www.imdb.com/title/tt0165573/;['Comedy', 'Drama'];8.1;14;1992-01-03;
Garage Sale;Description unavailable;https://www.imdb.com/title/tt0165572/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
The Fifty;The Fifty is a TV mini-series starring Richard Petty, Dale Earnhardt, and Buck Baker. The History of the First Fifty Years of NASCAR.;https://www.imdb.com/title/tt0165571/;['Documentary', 'History', 'Sport'];7.9;13;Unknown;
Aux frontières du possible;Description unavailable;https://www.imdb.com/title/tt0165570/;['Action', 'Adventure', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller'];6.9;34;1971-10-04;
Entre naranjos;Description unavailable;https://www.imdb.com/title/tt0165569/;Drama;6.5;15;1998-05-27;
The Emigrants;The Emigrants is a TV series starring Penne Hackforth-Jones, Brian Deacon, and Joe Ritchie. The story of an English family emigrating to Australia.;https://www.imdb.com/title/tt0165568/;Genre Unknown;No Rating;Total Rating Count N/A;1976-11-09;
The Dawson Watch;Description unavailable;https://www.imdb.com/title/tt0165567/;Genre Unknown;6.6;10;1979-02-23;
Cover;Description unavailable;https://www.imdb.com/title/tt0165566/;Drama;7.7;12;1981-01-20;
The Charlie Horse Music Pizza;The Charlie Horse Music Pizza is a TV series starring Chancz Perry, Gordon Robertson, and Lloyd Bochner. Shari Lewis, Charlie Horse, and their friends run a musical pizza parlor.;https://www.imdb.com/title/tt0165565/;Family;8.7;28;1998-01-05;
Brimstone;Brimstone is a TV series starring Peter Horton, John Glover, and Lori Petty. A dead cop, sentenced to Hell, is returned to Earth by the Devil to recover 113 escaped evil spirits.;https://www.imdb.com/title/tt0165564/;['Crime', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller'];8.1;1665;1998-10-23;
Die BR Comedy Show;Description unavailable;https://www.imdb.com/title/tt0165563/;Comedy;No Rating;Total Rating Count N/A;Unknown;
American Stories: The American Dream;Description unavailable;https://www.imdb.com/title/tt0165562/;Documentary;No Rating;Total Rating Count N/A;1998-07-04;
A las once en casa;A las once en casa is a TV series starring Antonio Resines, Carmen Maura, and Lidia San José. Lucia is a young girl who has a normal family a little less normal than usual, his parents, Angel and Gloria, are separated and she and...;https://www.imdb.com/title/tt0165561/;Comedy;3.8;111;1998-01-12;
Parole Chicago;Parole Chicago is a TV series starring Christoph Waltz, Gottfried Vollmer, and Susanne Herlet. Harry and Ede always have brilliant plans to raise money. They want to steal gold from a dental practice, sell pedigree dogs for...;https://www.imdb.com/title/tt0165590/;['Comedy', 'Crime'];8.2;48;1979-09-24;
No, That's Me Over Here!;No, That's Me Over Here! is a TV series starring Ronnie Corbett, Rosemary Leach, and Henry McGee. No That's Me Over Here sees Ronnie battling the relentless forces of time whilst struggling to keep his place in a ruthless suburban...;https://www.imdb.com/title/tt0165589/;Comedy;6.8;13;1967-11-14;
Mystic Knights of Tir Na Nog;Mystic Knights of Tir Na Nog is a TV series starring Lochlann O'Mearáin, Lisa Dwan, and Justin Pierre. In the mythical kingdom of Kells, four knights use their magic armor and weapons to fight the evil forces of Queen Maeve.;https://www.imdb.com/title/tt0165588/;['Action', 'Adventure', 'Drama', 'Fantasy'];6.8;616;1998-09-12;
MTV News: The Week in Rock;MTV News: The Week in Rock is a TV series starring Micky Dolenz, Christopher Guest, and Kurt Loder. In 1987, MTV added a weekly news program to its usual music video lineup. Reporters Kurt Loder and Serena Altschul provided in-depth...;https://www.imdb.com/title/tt0165586/;['Music', 'News'];6.7;15;Unknown;
The Long Way Home;The Long Way Home is a TV series starring Barry Letts, James Sharkey, and Nigel Arkwright. A group of British POWs escape from a WW2 German camp and try to make their way to Spain - and safety. But one of them is a German agent...;https://www.imdb.com/title/tt0165585/;['Family', 'Adventure', 'War'];No Rating;Total Rating Count N/A;1960-04-24;
Living in Captivity;Living in Captivity is a TV series starring Dondré T. Whitfield, Kira Arne' Verica, and Lenny Venito. Curtis, a successful DJ, and his pregnant Tamara integrate the upscale community of Woodland Heights. They make friends with an...;https://www.imdb.com/title/tt0165584/;Comedy;7.5;10;1998-09-11;
Friday Night Videos;Friday Night Videos is a TV series starring Rita Sever, Henry Cho, and Tom Kenny. "Friday Night Videos" was NBC's answer to MTV.;https://www.imdb.com/title/tt0165583/;['Music', 'Comedy'];8.2;84;1983-07-29;
Konsul Möllers Erben;Description unavailable;https://www.imdb.com/title/tt0165582/;Genre Unknown;8.9;15;1983-06-22;
The King of Queens;The King of Queens is a TV series starring Kevin James, Leah Remini, and Jerry Stiller. Delivery man Doug Heffernan has a good life: He has a pretty wife (Carrie), a big television, and friends with which to watch it. Then Carrie's...;https://www.imdb.com/title/tt0165581/;Comedy;7.3;76518;1998-09-21;
Video Power;Video Power is a TV series starring Stivi Paskoski, Terry Lee Torok, and Michael Donovan. Video power was a 1990 early teens morning show hosted by Johnny Arcade who provided news and hints on video games and also included a cartoon...;https://www.imdb.com/title/tt0165600/;['Animation', 'Family', 'Game-Show'];7.4;104;Unknown;
VH-1 Top Ten Countdown;Description unavailable;https://www.imdb.com/title/tt0165599/;Music;No Rating;Total Rating Count N/A;Unknown;
That '70s Show;That '70s Show is a TV series starring Topher Grace, Laura Prepon, and Mila Kunis. A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.;https://www.imdb.com/title/tt0165598/;['Comedy', 'Romance'];8.1;155731;1998-08-23;
Starr and Company;Description unavailable;https://www.imdb.com/title/tt0165597/;Drama;No Rating;Total Rating Count N/A;1958-03-31;
The Shari Show;Description unavailable;https://www.imdb.com/title/tt0165596/;['Comedy', 'Family'];7.8;17;Unknown;
The Shari Lewis Show;The Shari Lewis Show is a TV series starring Shari Lewis, Margaret Hamilton, and Ronald Radd. The Shari Lewis Show is an American Saturday morning color television program for children which appeared on NBC from 1960 to 1963, which...;https://www.imdb.com/title/tt0165595/;['Comedy', 'Family'];8.1;76;1960-10-01;
Puppet Playhouse;Puppet Playhouse is a TV series starring Bob Smith, Robert Keeshan, and Bill LeCornec. The first nationally televised American children's TV program and a prototype for what followed. Buffalo Bob Smith hosts while the puppet, Howdy...;https://www.imdb.com/title/tt0165594/;Family;7.7;190;1947-12-27;
BBC Play of the Month;BBC Play of the Month is a TV series starring Charles Gray, Eric Porter, and Jeremy Brett. Monthly anthology series featuring televised versions of plays.;https://www.imdb.com/title/tt0165593/;Drama;7.4;98;1965-10-19;
Play for Today;Play for Today is a TV series starring Alison Steadman, Nigel Hawthorne, and Tony Caunter. A British television anthology drama series that aired on BBC1 between 1970 and 1984.;https://www.imdb.com/title/tt0165592/;['Comedy', 'Drama'];7.6;239;1970-10-15;
The Passion;The Passion is a TV series starring Gina McKee, Juliet Cowan, and Paul Nicholls. During a rural representation of The Passion of Christ, a young actor and a married costume designer start a romance.;https://www.imdb.com/title/tt0165591/;Drama;7.4;76;1999-05-01;
Race Around the World;Race Around the World is a TV series starring Richard Fidler, David Caesar, and Ben Davies. Each series, eight budding film documentary makers spend 100 days travelling the globe, with only a digital video camera to keep them...;https://www.imdb.com/title/tt0165439/;Documentary;8.8;33;Unknown;
Peer Pressure;Peer Pressure is a TV series starring Jon Ernst, Valarie Rae Miller, and Dayna Price. A game show where teens advance around a life-size gameboard and try to answer irreverent questions about hygiene and etiquette. Contestants are...;https://www.imdb.com/title/tt0165421/;['Family', 'Game-Show'];No Rating;Total Rating Count N/A;Unknown;
Parole e sangue;Description unavailable;https://www.imdb.com/title/tt0165417/;Genre Unknown;No Rating;Total Rating Count N/A;1982-09-16;
Laurier;Laurier is a TV mini-series starring Jean-Jacques Blanchet, Charlotte Boisjoli, and Brigitte Boucher. The story of the first French-Canadian Prime Minister, Sir Wilfred Laurier;https://www.imdb.com/title/tt0165359/;['Biography', 'Drama'];7.0;7;Unknown;
Laat op de avond na een korte wandeling...;Description unavailable;https://www.imdb.com/title/tt0165356/;Documentary;No Rating;Total Rating Count N/A;Unknown;
In the Wild;In the Wild is a TV series starring Julia Roberts, Timothy Dalton, and Bob Hoskins. Actress Julia Roberts turns naturalist to discover the endangered great ape of Asia, the Orang-utan, as she goes on an expedition with...;https://www.imdb.com/title/tt0165326/;Documentary;7.2;124;Unknown;
The Howard Stern Radio Show;The Howard Stern Radio Show is a TV series starring Howard Stern, Robin Quivers, and Kelsa Kinsly. Key bits and highlights from Stern's daily syndicated radio program.;https://www.imdb.com/title/tt0165319/;Talk-Show;6.9;435;1998-08-22;
EastEnders;EastEnders is a TV series starring Adam Woodyatt, Steve McFadden, and Pam St. Clement. The everyday lives of working-class inhabitants of Albert Square, a traditional Victorian square of terrace houses surrounding a park in the East...;https://www.imdb.com/title/tt0165277/;['Crime', 'Drama', 'Romance'];4.7;7689;1985-02-19;
Bombay Blue;Description unavailable;https://www.imdb.com/title/tt0165112/;['Crime', 'Drama'];7.4;18;1997-10-04;
Chuck Norris: Karate Kommandos;Chuck Norris: Karate Kommandos is a TV series starring Sam Fontana, Kathy Garver, and Robert Ito. Chuck Norris is an operative for the United States government who has a team consisting of Pepper, a technological genius, Kimo, a...;https://www.imdb.com/title/tt0165166/;['Animation', 'Action', 'Family'];5.8;216;Unknown;
Accused;Description unavailable;https://www.imdb.com/title/tt0165072/;Genre Unknown;No Rating;Total Rating Count N/A;1996-11-03;
Atti degli apostoli;Atti degli apostoli is a TV mini-series starring Bradai, Edoardo Torricella, and Jacques Dumur. The spread of Christianity, according to Luke's account, 30 years after the departure of Jesus: Peter's community, its trials and...;https://www.imdb.com/title/tt0165093/;History;8.2;64;1969-04-06;
Woobinda, Animal Doctor;Woobinda, Animal Doctor is a TV series starring Don Pascoe, Sonia Hoffman, and Bindi Williams. This 39 episode series was about a Woobinda that is an Aboriginal word meaning tender of animals.;https://www.imdb.com/title/tt0165069/;Genre Unknown;7.9;14;1969-06-03;
Verdict;Verdict is a TV series starring Susan Duerden, Richard Baglow, and Jonathan Barlow. A courtoom drama series where members of the public are the jury, who give their verdict on the cases.;https://www.imdb.com/title/tt0165068/;Genre Unknown;No Rating;Total Rating Count N/A;1998-07-31;
Super Dave's All Stars;Super Dave's All Stars is a TV series starring Art Irizawa, Bob Einstein, and John Byner. He tried to jump weird obstacles with his motorcycle It was an attempt to make fun of Evil Knieval.;https://www.imdb.com/title/tt0165067/;['Comedy', 'Family'];7.8;133;Unknown;
Stormskärs Maja;Description unavailable;https://www.imdb.com/title/tt0165066/;Drama;8.0;65;1976-04-06;
Stay with Me Till Morning;Description unavailable;https://www.imdb.com/title/tt0165065/;Genre Unknown;No Rating;Total Rating Count N/A;1981-08-29;
Songs of Praise;Songs of Praise is a TV series starring Aled Jones, Pam Rhodes, and Katherine Jenkins. Long-running religious programme broadcasting church services and in particular the singing of Christian hymns from a different place of worship...;https://www.imdb.com/title/tt0165064/;Music;4.6;92;1961-10-01;
Snutarna - S·W·I·P;Snutarna - S·W·I·P is a TV series starring Fredde Granberg, Peter Settman, and Leif Forstenberg. Two Swedish policemen working overseas has been called back to Stockholm to master the notorious crime in Sweden.;https://www.imdb.com/title/tt0165063/;['Short', 'Comedy', 'Crime'];6.9;204;1994-11-14;
Ship to Shore;Ship to Shore is a TV series starring Clinton Voss, Kimberley Stark, and Greg Carroll. The comic adventures of the kids who live on Circe Island, a fishing community off the coast of Western Australia. Some kids call it Paradise,...;https://www.imdb.com/title/tt0165062/;['Comedy', 'Family'];7.3;235;1993-11-01;
Ship to Shore;Ship to Shore is a TV series starring Clinton Voss, Kimberley Stark, and Greg Carroll. The comic adventures of the kids who live on Circe Island, a fishing community off the coast of Western Australia. Some kids call it Paradise,...;https://www.imdb.com/title/tt0165061/;['Comedy', 'Family'];7.3;235;1993-11-01;
Harjunpää och antastaren;Description unavailable;https://www.imdb.com/title/tt0165030/;['Crime', 'Drama'];5.8;28;1985-11-05;
Harjunpää ja heimolaiset;Description unavailable;https://www.imdb.com/title/tt0165029/;['Crime', 'Drama'];5.0;7;1995-12-27;
Harbour Lights;Harbour Lights is a TV series starring Nick Berry, Gerard Horan, and Freddie Davies. Former Royal Navy officer Mike Nicholls returns to his childhood hometown of Bridehaven to take on the role of harbourmaster.;https://www.imdb.com/title/tt0165028/;['Crime', 'Drama'];6.5;34;1999-02-18;
Grandstand;Grandstand is a TV series starring Des Lynam, David Coleman, and Frank Bough. Weekend BBC sports show featuring live coverage of all the top British and international events.;https://www.imdb.com/title/tt0165027/;Sport;6.6;63;1958-10-11;
Give us a Break;Give us a Break is a TV series starring Robert Lindsay, Paul McGann, and Shirin Taylor. A Wheeler dealer likeable rogue gets lumbered with his girlfriends younger brother who's come down from Liverpool to London. After initially...;https://www.imdb.com/title/tt0165026/;['Comedy', 'Drama'];8.0;42;1983-09-22;
The Games;The Games is a TV series starring John Clarke, Bryan Dawe, and Gina Riley. Mockumentary about the organisation of the Sydney 2000 Olympic Games.;https://www.imdb.com/title/tt0165024/;['Comedy', 'Sport'];8.5;568;1998-08-17;
Four-In-One;Description unavailable;https://www.imdb.com/title/tt0165022/;Genre Unknown;No Rating;Total Rating Count N/A;1970-09-16;
Fast Tracks;Fast Tracks is a TV series starring Gillian Alexy, Joseph Atherden, and Laura Black. Based on a school that is divided by the olympic material kids and the normal students at a high school and what goes on.;https://www.imdb.com/title/tt0165021/;Genre Unknown;7.7;15;1998-09-05;
Levkas Man;Levkas Man is a TV series starring Robert Coleby, Marius Goring, and Ann Michelle. Paul Gerrard is a man in search of his missing father - a wayward archaeologist who has disappeared from Greece.;https://www.imdb.com/title/tt0165040/;['Drama', 'Thriller'];7.8;17;1981-02-09;
The Law Centre;Description unavailable;https://www.imdb.com/title/tt0165039/;Genre Unknown;No Rating;Total Rating Count N/A;1978-07-08;
L.A. Doctors;L.A. Doctors is a TV series starring Ken Olin, Matt Craven, and Rick Roberts. Four Doctors run an upmarket practice in LA in this drama which focuses as much on the problems in the US medical system as it does on the patients;https://www.imdb.com/title/tt0165038/;Drama;5.4;138;1998-09-21;
Kylä;Description unavailable;https://www.imdb.com/title/tt0165037/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Kiinnisidottu;Description unavailable;https://www.imdb.com/title/tt0165036/;Drama;7.8;13;1994-10-24;
Jukka Puotilat Show;Description unavailable;https://www.imdb.com/title/tt0165035/;Comedy;5.2;6;1998-05-03;
The Jim Breuer Show;The Jim Breuer Show is a TV series starring Jim Breuer, Stelio Savante, and Ted Alexandro. Stand-up comic Jim Breuer hosts his own MTV show, featuring skits with him as different characters and stand-up comedy guests including Judah...;https://www.imdb.com/title/tt0165034/;Comedy;6.8;11;1998-07-13;
J.K. Paasikivi;Description unavailable;https://www.imdb.com/title/tt0165033/;Genre Unknown;No Rating;Total Rating Count N/A;Unknown;
Intrigue;Intrigue is a TV series starring Edward Judd, Caroline Mortimer, and Philip Anthony. An industrial espionage drama in which an agent investigated the world of big business;https://www.imdb.com/title/tt0165032/;Genre Unknown;No Rating;Total Rating Count N/A;1966-10-01;
Harjunpää och kalla döden;Description unavailable;https://www.imdb.com/title/tt0165031/;['Crime', 'Drama'];5.2;26;1983-01-04;
Ship to Shore;Ship to Shore is a TV series starring Clinton Voss, Kimberley Stark, and Greg Carroll. The comic adventures of the kids who live on Circe Island, a fishing community off the coast of Western Australia. Some kids call it Paradise,...;https://www.imdb.com/title/tt0165060/;['Comedy', 'Family'];7.3;235;1993-11-01;
Shannon's Mob;Description unavailable;https://www.imdb.com/title/tt0165059/;Genre Unknown;6.8;6;1975-10-27;
Ryan;Ryan is a TV series starring Rod Mullinar, Pamela Stephenson, and Luigi Villani. The exploits of a private investigator in Australia in 1973.;https://www.imdb.com/title/tt0165058/;Drama;7.6;26;1973-05-25;
Rude Awakening;Rude Awakening is a TV series starring Sherilyn Fenn, Jonathan Penner, and Lynn Redgrave. Billie Frank (Sherilyn Fenn), an out-of-work alcoholic actress, used to be somewhat of a star in her day, but now she's all washed up. With...;https://www.imdb.com/title/tt0165057/;Comedy;7.2;561;1998-08-01;
Please Stand By;Please Stand By is a TV series starring Richard Schaal, Marcie Barkin, and Elinor Donahue. A man (Richard Schaal) abandons the corporate rat race to buy and run a small television station in a two-mule town, dragging his bemused...;https://www.imdb.com/title/tt0165056/;['Comedy', 'Family'];8.0;8;1979-01-06;
Phantom 2040;Phantom 2040 is a TV series starring Scott Valentine, Margot Kidder, and J.D. Hall. The 24th Phantom, the 'Ghost Who Walks,' battles crimes in the future of 2040.;https://www.imdb.com/title/tt0165055/;['Animation', 'Action', 'Crime', 'Drama', 'Sci-Fi'];7.1;535;1994-09-18;
Penmarric;Penmarric is a TV series starring Annabel Leventon, Thomas Ellice, and Peter Blake. Maud Penmar Castallack wages war on her cousin Giles for many years in her determination to secure Penmarric for her son, Mark. But Mark is a man of...;https://www.imdb.com/title/tt0165054/;['Drama', 'Family'];7.5;33;1979-10-12;
The Pathfinders;The Pathfinders is a TV series starring Robert Urquhart, Jack Watling, and Julian Orchard. World War II Royal Air Force squadron behind enemy lines.;https://www.imdb.com/title/tt0165053/;['Drama', 'War'];7.7;52;1972-09-27;
The New Adventures of Winnie the Pooh;The New Adventures of Winnie the Pooh is a TV series starring John Fiedler, Jim Cummings, and Ken Sansom. Follow Winnie the Pooh's adventures in the Hundred Acre Wood.;https://www.imdb.com/title/tt0165052/;['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical'];7.7;3393;1988-01-17;
The NBC Mystery Movie;Description unavailable;https://www.imdb.com/title/tt0165051/;['Crime', 'Drama', 'Mystery', 'Western'];8.5;63;Unknown;
Kraft Music Hall Presents: The Des O'Connor Show;Kraft Music Hall Presents: The Des O'Connor Show is a TV series starring Des O'Connor, Connie Stevens, and Jack Douglas. Musical variety series starring British entertainer Des O'Connor.;https://www.imdb.com/title/tt0165010/;['Comedy', 'Music'];5.9;10;1970-05-10;
Des O'Connor Now;Description unavailable;https://www.imdb.com/title/tt0165009/;Talk-Show;No Rating;Total Rating Count N/A;1984-04-02;
Des O'Connor Entertains;Description unavailable;https://www.imdb.com/title/tt0165008/;Comedy;4.9;7;1974-02-19;
Crusade in the Pacific;Crusade in the Pacific is a TV series starring Westbrook Van Voorhis, Kentaro Buma, and Frank Gibney. The Pacific was a key battle ground during World War II. Combat here changed the tides of the war.;https://www.imdb.com/title/tt0165007/;['Documentary', 'History', 'War'];7.4;92;1962-11-03;
Crusade in Europe;Crusade in Europe is a TV series starring Maurice Joyce, Westbrook Van Voorhis, and Hugh James. Based on the title of General Eisenhower's book, combat film from from World War II. This was the first documentary series produced for...;https://www.imdb.com/title/tt0165006/;['Documentary', 'News', 'War'];7.1;39;1949-05-05;
Crime Sheet;Description unavailable;https://www.imdb.com/title/tt0165005/;['Drama', 'Mystery'];No Rating;Total Rating Count N/A;1959-04-08;
The Creatives;The Creatives is a TV series starring Roger Allam, Jack Docherty, and Moray Hunter. Employees of an ad agency that thrived in the 1980s are trying to keep it afloat 20 years later with some new creative ideas.;https://www.imdb.com/title/tt0165004/;Comedy;7.2;12;1998-10-02;
Chopper Squad;Chopper Squad is a TV series starring Dennis Grosvenor, Tony Hughes, and Robert Coleby. The series was based around the work of a helicopter rescue team operating on Dee Why beach in Sydney. It has been said that the American series...;https://www.imdb.com/title/tt0165003/;Drama;6.9;42;1977-10-19;
